"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify user cannot login with invalid credentials","621","invalidLoginTest","Full Regression Suite","Wed May 13 12:21:46 UTC 2026","passed","Wed May 13 12:21:46 UTC 2026","tests.negative.InvalidLoginTests","Regression Tests - Chrome","tests.negative.InvalidLoginTests","invalidLoginTest"
"","969","completeCheckOutFlow","Full Regression Suite","Wed May 13 12:21:39 UTC 2026","passed","Wed May 13 12:21:40 UTC 2026","tests.postive.E2e","Regression Tests - Chrome","tests.postive.E2e","completeCheckOutFlow"
"Verify user cannot login with invalid credentials","678","invalidLoginTest","Full Regression Suite","Wed May 13 12:21:46 UTC 2026","passed","Wed May 13 12:21:46 UTC 2026","tests.negative.InvalidLoginTests","Regression Tests - Firefox","tests.negative.InvalidLoginTests","invalidLoginTest"
"Verify user cannot continue checkout with missing required fields","1621","invalidCheckoutTest","Full Regression Suite","Wed May 13 12:21:52 UTC 2026","passed","Wed May 13 12:21:54 UTC 2026","tests.negative.CheckoutNegativeTests","Regression Tests - Firefox","tests.negative.CheckoutNegativeTests","invalidCheckoutTest"
"Verify user cannot login with invalid credentials","701","invalidLoginTest","Full Regression Suite","Wed May 13 12:21:43 UTC 2026","passed","Wed May 13 12:21:43 UTC 2026","tests.negative.InvalidLoginTests","Regression Tests - Chrome","tests.negative.InvalidLoginTests","invalidLoginTest"
"Verify user cannot login with invalid credentials","640","invalidLoginTest","Full Regression Suite","Wed May 13 12:21:49 UTC 2026","passed","Wed May 13 12:21:49 UTC 2026","tests.negative.InvalidLoginTests","Regression Tests - Firefox","tests.negative.InvalidLoginTests","invalidLoginTest"
"Verify user cannot continue checkout with missing required fields","1575","invalidCheckoutTest","Full Regression Suite","Wed May 13 12:21:50 UTC 2026","passed","Wed May 13 12:21:52 UTC 2026","tests.negative.CheckoutNegativeTests","Regression Tests - Chrome","tests.negative.CheckoutNegativeTests","invalidCheckoutTest"
"","970","completeCheckOutFlow","Full Regression Suite","Wed May 13 12:21:39 UTC 2026","passed","Wed May 13 12:21:40 UTC 2026","tests.postive.E2e","Regression Tests - Firefox","tests.postive.E2e","completeCheckOutFlow"
"Verify user cannot login with invalid credentials","654","invalidLoginTest","Full Regression Suite","Wed May 13 12:21:44 UTC 2026","passed","Wed May 13 12:21:45 UTC 2026","tests.negative.InvalidLoginTests","Regression Tests - Chrome","tests.negative.InvalidLoginTests","invalidLoginTest"
"Verify user cannot login with invalid credentials","704","invalidLoginTest","Full Regression Suite","Wed May 13 12:21:43 UTC 2026","passed","Wed May 13 12:21:43 UTC 2026","tests.negative.InvalidLoginTests","Regression Tests - Firefox","tests.negative.InvalidLoginTests","invalidLoginTest"
"Verify user cannot continue checkout with missing required fields","1623","invalidCheckoutTest","Full Regression Suite","Wed May 13 12:21:55 UTC 2026","passed","Wed May 13 12:21:57 UTC 2026","tests.negative.CheckoutNegativeTests","Regression Tests - Firefox","tests.negative.CheckoutNegativeTests","invalidCheckoutTest"
"Full flow from login to adding items to cart and finishing checkout.","867","successLogintest","Full Regression Suite","Wed May 13 12:21:37 UTC 2026","passed","Wed May 13 12:21:38 UTC 2026","tests.postive.E2e","Regression Tests - Firefox","tests.postive.E2e","successLogintest"
"Verify that a user can successfully log out and is redirected to the login page","1438","successfulLogoutTest","Full Regression Suite","Wed May 13 12:21:40 UTC 2026","passed","Wed May 13 12:21:42 UTC 2026","tests.postive.LogoutTests","Regression Tests - Chrome","tests.postive.LogoutTests","successfulLogoutTest"
"Verify user cannot login with invalid credentials","629","invalidLoginTest","Full Regression Suite","Wed May 13 12:21:47 UTC 2026","passed","Wed May 13 12:21:48 UTC 2026","tests.negative.InvalidLoginTests","Regression Tests - Chrome","tests.negative.InvalidLoginTests","invalidLoginTest"
"Verify user cannot login with invalid credentials","595","invalidLoginTest","Full Regression Suite","Wed May 13 12:21:47 UTC 2026","passed","Wed May 13 12:21:48 UTC 2026","tests.negative.InvalidLoginTests","Regression Tests - Firefox","tests.negative.InvalidLoginTests","invalidLoginTest"
"","941","addMultipleProductsFlow","Full Regression Suite","Wed May 13 12:21:38 UTC 2026","passed","Wed May 13 12:21:39 UTC 2026","tests.postive.E2e","Regression Tests - Firefox","tests.postive.E2e","addMultipleProductsFlow"
"Verify user cannot login with invalid credentials","667","invalidLoginTest","Full Regression Suite","Wed May 13 12:21:44 UTC 2026","passed","Wed May 13 12:21:45 UTC 2026","tests.negative.InvalidLoginTests","Regression Tests - Firefox","tests.negative.InvalidLoginTests","invalidLoginTest"
"Verify user cannot continue checkout with missing required fields","1565","invalidCheckoutTest","Full Regression Suite","Wed May 13 12:21:53 UTC 2026","passed","Wed May 13 12:21:54 UTC 2026","tests.negative.CheckoutNegativeTests","Regression Tests - Chrome","tests.negative.CheckoutNegativeTests","invalidCheckoutTest"
"Verify that a user can successfully log out and is redirected to the login page","1415","successfulLogoutTest","Full Regression Suite","Wed May 13 12:21:40 UTC 2026","passed","Wed May 13 12:21:42 UTC 2026","tests.postive.LogoutTests","Regression Tests - Firefox","tests.postive.LogoutTests","successfulLogoutTest"
"Verify user cannot continue checkout with missing required fields","1571","invalidCheckoutTest","Full Regression Suite","Wed May 13 12:21:50 UTC 2026","passed","Wed May 13 12:21:52 UTC 2026","tests.negative.CheckoutNegativeTests","Regression Tests - Firefox","tests.negative.CheckoutNegativeTests","invalidCheckoutTest"
"Verify user cannot continue checkout with missing required fields","1620","invalidCheckoutTest","Full Regression Suite","Wed May 13 12:21:55 UTC 2026","passed","Wed May 13 12:21:57 UTC 2026","tests.negative.CheckoutNegativeTests","Regression Tests - Chrome","tests.negative.CheckoutNegativeTests","invalidCheckoutTest"
"Full flow from login to adding items to cart and finishing checkout.","867","successLogintest","Full Regression Suite","Wed May 13 12:21:37 UTC 2026","passed","Wed May 13 12:21:38 UTC 2026","tests.postive.E2e","Regression Tests - Chrome","tests.postive.E2e","successLogintest"
"Verify user cannot login with invalid credentials","643","invalidLoginTest","Full Regression Suite","Wed May 13 12:21:49 UTC 2026","passed","Wed May 13 12:21:49 UTC 2026","tests.negative.InvalidLoginTests","Regression Tests - Chrome","tests.negative.InvalidLoginTests","invalidLoginTest"
"","938","addMultipleProductsFlow","Full Regression Suite","Wed May 13 12:21:38 UTC 2026","passed","Wed May 13 12:21:39 UTC 2026","tests.postive.E2e","Regression Tests - Chrome","tests.postive.E2e","addMultipleProductsFlow"
